Sample ID #,Location,Source,Date/Time Collected,Date Analyzed,Lab ID,Analyte,Results,PPS Action Level,Units, , , , 
266-5260-A-001A,Outside,Sun,8/9/18,8/13/18,18018630,Copper,0.2,1.3,ppm,,,,
266-5260-A-001A,Outside,Sun,8/9/18,8/13/18,18018630,Lead,11,15,ppb,,,,
266-5260-A-001B,Outside,Sun,8/9/18,8/13/18,18018642,Copper,0.0281,1.3,ppm,,,,
266-5260-A-001B,Outside,Sun,8/9/18,8/13/18,18018642,Lead,0.511,15,ppb,,,,
266-5318-A-001A,Kitchen,,8/9/18,8/13/18,18018631,Copper,0.0281,1.3,ppm,,,,
266-5318-A-001A,Kitchen,,8/9/18,8/13/18,18018631,Lead,2,15,ppb,,,,
266-5318-A-001B,Kitchen,,8/9/18,8/13/18,18018635,Copper,0.0281,1.3,ppm,,,,
266-5318-A-001B,Kitchen,,8/9/18,8/13/18,18018635,Lead,2,15,ppb,,,,
266-5295-A-001A,Kitchen,,8/9/18,8/13/18,18018645,Copper,0.0281,1.3,ppm,,,,
266-5295-A-001A,Kitchen,,8/9/18,8/13/18,18018645,Lead,2,15,ppb,,,,
266-5295-A-001B,Kitchen,,8/9/18,8/13/18,18018644,Copper,0.0281,1.3,ppm,,,,
266-5295-A-001B,Kitchen,,8/9/18,8/13/18,18018644,Lead,0.511,15,ppb,,,,
266-5309-A-001A,Cafeteria,,8/9/18,8/13/18,18018643,Copper,0.0281,1.3,ppm,,,,
266-5309-A-001A,Cafeteria,,8/9/18,8/13/18,18018643,Lead,8,15,ppb,,,,
266-5309-A-001B,Cafeteria,,8/9/18,8/13/18,18018637,Copper,0.0281,1.3,ppm,,,,
266-5309-A-001B,Cafeteria,,8/9/18,8/13/18,18018637,Lead,0.511,15,ppb,,,,
266-5301-A-001A,Rm,157,8/9/18,8/13/18,18018640,Copper,0.0281,1.3,ppm,,,,
266-5301-A-001A,Rm,157,8/9/18,8/13/18,18018640,Lead,27,15,ppb,,,,
266-5301-A-001B,Rm,157,8/9/18,8/13/18,18018641,Copper,0.0281,1.3,ppm,,,,
266-5301-A-001B,Rm,157,8/9/18,8/13/18,18018641,Lead,4,15,ppb,,,,
266-5300-A-001A,Outside,151,8/9/18,8/13/18,18018622,Copper,0.0281,1.3,ppm,,,,
266-5300-A-001A,Outside,151,8/9/18,8/13/18,18018622,Lead,7,15,ppb,,,,
266-5300-A-001B,Outside,151,8/9/18,8/13/18,18018646,Copper,0.0281,1.3,ppm,,,,
266-5300-A-001B,Outside,151,8/9/18,8/13/18,18018646,Lead,0.511,15,ppb,,,,
266-5304-A-001A,Rm,149,8/9/18,8/13/18,18018639,Copper,0.0281,1.3,ppm,,,,
266-5304-A-001A,Rm,149,8/9/18,8/13/18,18018639,Lead,11,15,ppb,,,,
266-5304-A-001B,Rm,149,8/9/18,8/13/18,18018636,Copper,0.0281,1.3,ppm,,,,
266-5304-A-001B,Rm,149,8/9/18,8/13/18,18018636,Lead,9,15,ppb,,,,
266-5294-A-001A,Rm,146,8/9/18,8/13/18,18018638,Copper,0.1,1.3,ppm,,,,
266-5294-A-001A,Rm,146,8/9/18,8/13/18,18018638,Lead,50,15,ppb,,,,
266-5294-A-001B,Rm,146,8/9/18,8/13/18,18018634,Copper,0.0281,1.3,ppm,,,,
266-5294-A-001B,Rm,146,8/9/18,8/13/18,18018634,Lead,6,15,ppb,,,,
266-5310-A-001A,Rm,163,8/9/18,8/13/18,18018633,Copper,0.0281,1.3,ppm,,,,
266-5310-A-001A,Rm,163,8/9/18,8/13/18,18018633,Lead,9,15,ppb,,,,
266-5310-A-001B,Rm,163,8/9/18,8/13/18,18018632,Copper,0.0281,1.3,ppm,,,,
266-5310-A-001B,Rm,163,8/9/18,8/13/18,18018632,Lead,4,15,ppb,,,,
266-5316-A-001A,Outside,169,8/9/18,8/13/18,18018612,Copper,0.0281,1.3,ppm,,,,
266-5316-A-001A,Outside,169,8/9/18,8/13/18,18018612,Lead,5,15,ppb,,,,
266-5316-A-001B,Outside,169,8/9/18,8/13/18,18018616,Copper,0.0281,1.3,ppm,,,,
266-5316-A-001B,Outside,169,8/9/18,8/13/18,18018616,Lead,9,15,ppb,,,,
266-5313-A-001A,Rm,169,8/9/18,8/13/18,18018619,Copper,0.0281,1.3,ppm,,,,
266-5313-A-001A,Rm,169,8/9/18,8/13/18,18018619,Lead,7,15,ppb,,,,
266-5313-A-001B,Rm,169,8/9/18,8/13/18,18018620,Copper,0.0281,1.3,ppm,,,,
266-5313-A-001B,Rm,169,8/9/18,8/13/18,18018620,Lead,2,15,ppb,,,,
266-5258-A-001A,Near,Custodian,8/9/18,8/13/18,18018621,Copper,0.0281,1.3,ppm,,,,
266-5258-A-001A,Near,Custodian,8/9/18,8/13/18,18018621,Lead,0.511,15,ppb,,,,
266-5258-A-001B,Near,Custodian,8/9/18,8/13/18,18018624,Copper,0.0281,1.3,ppm,,,,
266-5258-A-001B,Near,Custodian,8/9/18,8/13/18,18018624,Lead,0.0281,15,ppb,,,,
266-5261-A-001A,Room,136,8/9/18,8/13/18,18018625,Copper,0.5,1.3,ppm,,,,
266-5261-A-001A,Room,136,8/9/18,8/13/18,18018625,Lead,9,15,ppb,,,,
266-5261-A-001B,Room,136,8/9/18,8/13/18,18018627,Copper,0.5,1.3,ppm,,,,
266-5261-A-001B,Room,136,8/9/18,8/13/18,18018627,Lead,2,15,ppb,,,,
266-5264-A-001A,Room,130,8/9/18,8/13/18,18018613,Copper,0.6,1.3,ppm,,,,
266-5264-A-001A,Room,130,8/9/18,8/13/18,18018613,Lead,16,15,ppb,,,,
266-5264-A-001B,Room,130,8/9/18,8/13/18,18018617,Copper,0.3,1.3,ppm,,,,
266-5264-A-001B,Room,130,8/9/18,8/13/18,18018617,Lead,4,15,ppb,,,,
266-5259-A-001A,Near,122,8/9/18,8/13/18,18018611,Copper,0.0281,1.3,ppm,,,,
266-5259-A-001A,Near,122,8/9/18,8/13/18,18018611,Lead,3,15,ppb,,,,
266-5259-A-001B,Near,122,8/9/18,8/13/18,18018614,Copper,0.0281,1.3,ppm,,,,
266-5259-A-001B,Near,122,8/9/18,8/13/18,18018614,Lead,5,15,ppb,,,,
266-5259-B-001A,Near,122,8/9/18,8/13/18,18018623,Copper,0.0281,1.3,ppm,,,,
266-5259-B-001A,Near,122,8/9/18,8/13/18,18018623,Lead,0.0281,15,ppb,,,,
266-5259-B-001B,Near,122,8/9/18,8/13/18,18018628,Copper,0.0281,1.3,ppm,,,,
266-5259-B-001B,Near,122,8/9/18,8/13/18,18018628,Lead,0.0281,15,ppb,,,,
266-5265-A-001A,Room,125,8/9/18,8/13/18,18018615,Copper,0.0281,1.3,ppm,,,,
266-5265-A-001A,Room,125,8/9/18,8/13/18,18018615,Lead,22,15,ppb,,,,
266-5265-A-001B,Room,125,8/9/18,8/13/18,18018629,Copper,0.0281,1.3,ppm,,,,
266-5265-A-001B,Room,125,8/9/18,8/13/18,18018629,Lead,5,15,ppb,,,,
266-5262-A-001A,Room,122,8/9/18,8/13/18,18018618,Copper,0.0281,1.3,ppm,,,,
266-5262-A-001A,Room,122,8/9/18,8/13/18,18018618,Lead,8,15,ppb,,,,
266-5262-A-001B,Room,122,8/9/18,8/13/18,18018626,Copper,0.0281,1.3,ppm,,,,
266-5262-A-001B,Room,122,8/9/18,8/13/18,18018626,Lead,2,15,ppb,,,,
266-5247-A-001A,Near,Exit,8/9/18,8/13/18,18018649,Copper,0.0281,1.3,ppm,,,,
266-5247-A-001A,Near,Exit,8/9/18,8/13/18,18018649,Lead,4,15,ppb,,,,
266-5247-A-001B,Near,Exit,8/9/18,8/13/18,18018650,Copper,0.0281,1.3,ppm,,,,
266-5247-A-001B,Near,Exit,8/9/18,8/13/18,18018650,Lead,9,15,ppb,,,,
266-5247-B-001A,Near,Exit,8/9/18,8/13/18,18018651,Copper,0.0281,1.3,ppm,,,,
266-5247-B-001A,Near,Exit,8/9/18,8/13/18,18018651,Lead,7,15,ppb,,,,
266-5247-B-001B,Near,Exit,8/9/18,8/13/18,18018652,Copper,0.0281,1.3,ppm,,,,
266-5247-B-001B,Near,Exit,8/9/18,8/13/18,18018652,Lead,2,15,ppb,,,,
266-5244-A-001A,Room,109,8/9/18,8/13/18,18018653,Copper,0.0281,1.3,ppm,,,,
266-5244-A-001A,Room,109,8/9/18,8/13/18,18018653,Lead,16,15,ppb,,,,
266-5244-A-001B,Room,109,8/9/18,8/13/18,18018654,Copper,0.0281,1.3,ppm,,,,
266-5244-A-001B,Room,109,8/9/18,8/13/18,18018654,Lead,8,15,ppb,,, ,
266-5241-A-001A,Room,128,8/9/18,8/13/18,18018655,Copper,0.0281,1.3,ppm,,,,
266-5241-A-001A,Room,128,8/9/18,8/13/18,18018655,Lead,11,15,ppb,,, ,
266-5241-A-001B,Room,128,8/9/18,8/13/18,18018656,Copper,0.0281,1.3,ppm,,,,
266-5241-A-001B,Room,128,8/9/18,8/13/18,18018656,Lead,9,15,ppb,,, ,
266-5319-A-001A,Room,32,8/9/18,8/13/18,18018657,Copper,0.0281,1.3,ppm,,,,
266-5319-A-001A,Room,32,8/9/18,8/13/18,18018657,Lead,5,15,ppb,,, ,
266-5319-A-001B,Room,32,8/9/18,8/13/18,18018658,Copper,0.0281,1.3,ppm,,,,
266-5319-A-001B,Room,32,8/9/18,8/13/18,18018658,Lead,4,15,ppb,,,,
266-5396-A-001A,Room,33,8/9/18,8/13/18,18018659,Copper,0.0281,1.3,ppm,,,,
266-5396-A-001A,Room,33,8/9/18,8/13/18,18018659,Lead,14,15,ppb,,,,
266-5396-A-001B,Room,33,8/9/18,8/13/18,18018660,Copper,0.0281,1.3,ppm,,,,
266-5396-A-001B,Room,33,8/9/18,8/13/18,18018660,Lead,5,15,ppb,,,,
266-5302-A-001A,Room,34,8/9/18,8/13/18,18018661,Copper,0.0281,1.3,ppm,,,,
266-5302-A-001A,Room,34,8/9/18,8/13/18,18018661,Lead,42,15,ppb,,,,
266-5302-A-001B,Room,34,8/9/18,8/13/18,18018662,Copper,0.0281,1.3,ppm,,,,
266-5302-A-001B,Room,34,8/9/18,8/13/18,18018662,Lead,33,15,ppb,,,,
266-5305-A-001A,Room,35,8/9/18,8/13/18,18018663,Copper,0.0281,1.3,ppm,,,,
266-5305-A-001A,Room,35,8/9/18,8/13/18,18018663,Lead,18,15,ppb,,,,
266-5305-A-001B,Room,35,8/9/18,8/13/18,18018664,Copper,0.0281,1.3,ppm,,,,
266-5305-A-001B,Room,35,8/9/18,8/13/18,18018664,Lead,12,15,ppb,,,,
266-5308-A-001A,Room,36,8/9/18,8/13/18,18018665,Copper,0.0281,1.3,ppm,,,,
266-5308-A-001A,Room,36,8/9/18,8/13/18,18018665,Lead,14,15,ppb,,,,
266-5308-A-001B,Room,36,8/9/18,8/13/18,18018666,Copper,0.0281,1.3,ppm,,,,
266-5308-A-001B,Room,36,8/9/18,8/13/18,18018666,Lead,12,15,ppb,,,,
266-5254-A-001A,Room,110,8/9/18,8/13/18,18018667,Copper,0.0281,1.3,ppm,,,,
266-5254-A-001A,Room,110,8/9/18,8/13/18,18018667,Lead,5,15,ppb,,,,
266-5254-A-001B,Room,110,8/9/18,8/13/18,18018668,Copper,0.0281,1.3,ppm,,,,
266-5254-A-001B,Room,110,8/9/18,8/13/18,18018668,Lead,4,15,ppb,,,,
266-5311-A-001A,Portable,201,8/9/18,8/13/18,18018669,Copper,0.0281,1.3,ppm,,,,
266-5311-A-001A,Portable,201,8/9/18,8/13/18,18018669,Lead,22,15,ppb,,,,
266-5311-A-001B,Portable,201,8/9/18,8/13/18,18018670,Copper,0.0281,1.3,ppm,,,,
266-5311-A-001B,Portable,201,8/9/18,8/13/18,18018670,Lead,11,15,ppb,,,,
266-5314-A-001A,Portable,202,8/9/18,8/13/18,18018673,Copper,0.0281,1.3,ppm,,,,
266-5314-A-001A,Portable,202,8/9/18,8/13/18,18018673,Lead,10,15,ppb,,,,
266-5314-A-001B,Portable,202,8/9/18,8/13/18,18018674,Copper,0.0281,1.3,ppm,,,,
266-5314-A-001B,Portable,202,8/9/18,8/13/18,18018674,Lead,8,15,ppb,,,,
266-5317-A-001A,Portable,201/202,8/9/18,8/13/18,18018675,Copper,0.9,1.3,ppm,,,,
266-5317-A-001A,Portable,201/202,8/9/18,8/13/18,18018675,Lead,4,15,ppb,,,,
266-5317-A-001B,Portable,201/202,8/9/18,8/13/18,18018676,Copper,0.5,1.3,ppm,,,,
266-5317-A-001B,Portable,201/202,8/9/18,8/13/18,18018676,Lead,2,15,ppb,,,,